,id,iso,brand,category,continuous_shot,description,effective_pixel,focus_point,model,release_time,video_rate,video_resolution,initial_price,cluster
0,1,102400,Canon,SLR,7,,30.4,61.0,EOS-5D X Mark IV,2016-09-08,30,4,26599.0,3
1,2,409600,Canon,SLR,20,,20.1,191.0,EOS-1D X Mark III,2020-01-06,60,5,44999.0,3
2,3,3200,Canon,DC,7,,20.1,,IXUS285 HS,2016-01-06,30,1,1999.0,2
3,4,3200,Canon,DC,10,,20.1,,SX740 HS,2018-07-31,30,4,2899.0,2
4,5,25600,Canon,DC,20,,20.1,,G7 X Mark III,2019-07-09,30,4,4999.0,2
5,6,51200,Canon,MIC,5,,26.2,4779.0,EOS RP,2019-02-14,25,4,7999.0,3
6,7,204800,Canon,MIC,40,,24.2,4897.0,EOS R8,2023-02-08,60,4,10499.0,3
7,8,51200,Canon,MIC,30,,35.5,5915.0,EOS R7,2022-05-24,60,4,9499.0,3
8,9,204800,Canon,MIC,40,,24.2,4779.0,EOS R3,2021-09-14,60,4,36999.0,3
9,10,51200,Canon,SLR,5,,24.1,9.0,EOS 200D II,2019-04-10,25,4,4799.0,0
10,11,51200,Canon,SLR,11,,32.5,45.0,EOS 90D,2019-08-28,30,4,7999.0,0
11,12,12800,Nikon,DC,7,,16.05,,P900,2015-03-22,60,1,3423.0,0
12,13,6400,Nikon,DC,8,,16.04,,A1000,2019-01-17,30,4,3630.0,2
13,14,6400,Nikon,DC,7,,16.05,,P1000,2018-07-10,30,4,5980.0,2
14,15,6400,Nikon,DC,7,,16.05,,P950,2020-01-07,30,4,5980.0,2
15,16,25600,Nikon,SLR,9,,45.75,153.0,D850,2017-08-24,30,4,28599.0,0
16,17,12800,Nikon,SLR,6,,24.32,51.0,D750,2014-09-12,60,1,13000.0,0
17,18,51200,Nikon,MIC,11,,20.88,209.0,Z30,2022-06-29,30,4,4799.0,1
18,19,51200,Nikon,SLR,10,,20.88,153.0,D500,2016-01-06,30,4,12699.0,0
19,20,51200,Nikon,SLR,8,,20.88,51.0,D7500,2017-04-12,30,4,8600.0,0
20,21,51200,Nikon,MIC,4,,24.32,273.0,Z5,2020-07-21,30,4,9800.0,1
21,22,25600,Nikon,MIC,120,,45.71,493.0,Z9,2021-10-18,120,4,35999.0,1
22,23,51200,Nikon,MIC,14,,24.5,273.0,Z6II,2020-10-14,30,4,13799.0,1
23,24,25600,Nikon,MIC,10,,45.75,493.0,Z7II,2020-10-14,60,4,19799.0,1
24,25,25600,Nikon,MIC,120,,45.71,493.0,Z8,2023-05-25,60,4,27999.0,1
25,26,64000,Nikon,MIC,30,,24.5,273.0,Zf,2023-10-12,60,4,13799.0,1
26,27,64000,Nikon,MIC,120,,24.5,299.0,Z6III,2024-06-25,120,4,18999.0,1
27,28,32000,Sony,MIC,8,,61.0,693.0,Alpha 7CR,2023-08-29,60,4,20999.0,1
28,29,102400,Sony,MIC,10,,12.1,759.0,ZV-E1,2023-03-29,60,4,13599.0,1
29,30,32000,Sony,MIC,10,,42.4,399.0,Alpha 7R III,2017-10-25,30,4,15499.0,1
30,31,32000,Sony,MIC,11,,26.0,759.0,Alpha 6700,2023-07-12,60,4,9699.0,1
31,32,25600,Sony,MIC,120,,24.6,759.0,Alpha 9 III,2023-11-07,120,4,44999.0,1
32,33,12800,Sony,DC,4,,20.1,315.0,ZV-1M2 ,2023-05-23,30,4,5299.0,2
33,34,12800,Sony,DC,16,,20.1,425.0,ZV-1F,2022-10-13,30,4,3199.0,2
34,35,12800,Sony,DC,24,,20.1,315.0,ZV-1,2020-05-26,30,4,5199.0,2
