,Brand,Model,Type,Release_Time,Initial_Price,Effective_Pixels,ISO,Focus_Points,Continuous_Shot,Video_Resolution,Video_Rate,Cluster
2,Canon,EOS 90D,SLR,28/8/19,7999,32.5,51200,45,11,4,30,0
3,Canon,EOS 200D Ⅱ,SLR,10/4/19,4799,24.1,51200,9,5,4,25,0
19,Nikon,D7500,SLR,12/4/17,8600,20.88,51200,51,8,4,30,0
20,Nikon,D500,SLR,6/1/16,12699,20.88,51200,153,10,4,30,0
21,Nikon,D750,SLR,12/9/14,13000,24.32,12800,51,6.5,1,60,0
22,Nikon,D850,SLR,24/8/17,28599,45.75,25600,153,9,4,30,0
26,Nikon,P900,DC,22/3/15,3423,16.05,12800,,7,1,60,0
11,Nikon,Z6III,MIC,25/6/24,18999,24.5,64000,299,120,4,120,1
12,Nikon,Zf,MIC,12/10/23,13799,24.5,64000,273,30,4,60,1
13,Nikon,Z8,MIC,25/5/23,27999,45.71,25600,493,120,4,60,1
14,Nikon,Z7II,MIC,14/10/20,19799,45.75,25600,493,10,4,60,1
15,Nikon,Z6II,MIC,14/10/20,13799,24.5,51200,273,14,4,30,1
16,Nikon,Z9,MIC,18/10/21,35999,45.71,25600,493,120,4,120,1
17,Nikon,Z30,MIC,29/6/22,4799,20.88,51200,209,11,4,30,1
18,Nikon,Z5,MIC,21/7/20,9800,24.32,51200,273,4.5,4,30,1
27,Sony,α7CR,MIC,29/8/23,20999,61,32000,693,8,4,60,1
28,Sony,ZV-E1,MIC,29/3/23,13599,12.1,102400,759,10,4,60,1
29,Sony,Alpha 7R III,MIC,25/10/17,15499,42.4,32000,399,10,4,30,1
30,Sony,Alpha 6700,MIC,12/7/23,9699,26,32000,759,11,4,60,1
31,Sony,Alpha 9 III,MIC,7/11/23,44999,24.6,25600,759,120,4,120,1
8,Canon,G7 X Mark Ⅲ,DC,9/7/19,4999,20.1,25600,,20,4,30,2
9,Canon,SX740 HS,DC,31/7/18,2899,20.1,3200,,10,4,30,2
10,Canon,IXUS285 HS,DC,6/1/16,1999,20.1,3200,,7.2,1,30,2
23,Nikon,P950,DC,7/1/20,5980,16.05,6400,,7,4,30,2
24,Nikon,P1000,DC,10/7/18,5980,16.05,6400,,7,4,30,2
25,Nikon,A1000,DC,17/1/19,3630,16.04,6400,,8,4,30,2
32,Sony,ZV-1M2 ,DC,23/5/23,5299,20.1,12800,315,4,4,30,2
33,Sony,ZV-1F,DC,13/10/22,3199,20.1,12800,425,16,4,30,2
34,Sony,ZV-1,DC,26/5/20,5199,20.1,12800,315,24,4,30,2
0,Canon,EOS-1D X Mark Ⅲ,SLR,6/1/20,44999,20.1,409600,191,20,5.5,60,3
1,Canon,EOS-5D X Mark Ⅳ,SLR,8/9/16,26599,30.4,102400,61,7,4,30,3
4,Canon,EOS R3,MIC,14/9/21,36999,24.2,204800,4779,40,4,60,3
5,Canon,EOS R7,MIC,24/5/22,9499,35.5,51200,5915,30,4,60,3
6,Canon,EOS R8,MIC,8/2/23,10499,24.2,204800,4897,40,4,60,3
7,Canon,EOS RP,MIC,14/2/19,7999,26.2,51200,4779,5,4,25,3
