platform,price,time,camera_id
TB,42989,2023-06-01,2
TB,42989,2023-06-09,2
TB,42989,2023-06-17,2
TB,42989,2023-06-25,2
TB,42989,2023-07-01,2
TB,42989,2023-07-09,2
TB,42989,2023-07-17,2
TB,42989,2023-07-25,2
TB,42989,2023-08-01,2
TB,42989,2023-08-09,2
TB,42989,2023-08-17,2
TB,42989,2023-08-25,2
TB,42989,2023-09-01,2
TB,42989,2023-09-09,2
TB,42989,2023-09-17,2
TB,42989,2023-09-25,2
TB,42989,2023-10-01,2
TB,42989,2023-10-09,2
TB,42989,2023-10-17,2
TB,42989,2023-10-25,2
TB,42989,2023-11-01,2
TB,42989,2023-11-09,2
TB,42989,2023-11-17,2
TB,42989,2023-11-25,2
TB,42989,2023-12-01,2
TB,42989,2023-12-09,2
TB,42989,2023-12-17,2
TB,42989,2023-12-25,2
TB,42989,2024-01-01,2
TB,42989,2024-01-09,2
TB,42989,2024-01-17,2
TB,42989,2024-01-25,2
TB,42989,2024-02-01,2
TB,42989,2024-02-09,2
TB,42989,2024-02-17,2
TB,42989,2024-02-25,2
TB,42989,2024-03-01,2
TB,42989,2024-03-09,2
TB,42989,2024-03-17,2
TB,42989,2024-03-25,2
TB,42989,2024-04-01,2
TB,42989,2024-04-09,2
TB,42989,2024-04-17,2
TB,42989,2024-04-25,2
TB,42989,2024-05-01,2
TB,42989,2024-05-09,2
TB,42989,2024-05-17,2
TB,42989,2024-05-25,2
TB,42989,2024-06-01,2
TB,42989,2024-06-09,2
TB,42989,2024-06-17,2
TB,42989,2024-06-25,2
TB,42989,2024-07-01,2
TB,42989,2024-07-09,2
TB,42989,2024-07-17,2
TB,42989,2024-07-25,2
TB,42989,2024-08-01,2
JD,44999,2020-01-06,2
JD,42599,2023-06-01,2
JD,41999,2023-06-09,2
JD,41399,2023-06-17,2
JD,41399,2023-06-25,2
JD,41399,2023-07-01,2
JD,41899,2023-07-09,2
JD,41099,2023-07-17,2
JD,41699,2023-07-25,2
JD,41399,2023-08-01,2
JD,41399,2023-08-09,2
JD,41699,2023-08-17,2
JD,41099,2023-08-25,2
JD,41699,2023-09-01,2
JD,41999,2023-09-09,2
JD,41999,2023-09-17,2
JD,41999,2023-09-25,2
JD,41699,2023-10-01,2
JD,41999,2023-10-09,2
JD,41999,2023-10-17,2
JD,41699,2023-10-25,2
JD,41199,2023-11-01,2
JD,39999,2023-11-09,2
JD,33999,2023-11-17,2
JD,43999,2023-11-25,2
JD,42999,2023-12-01,2
JD,42999,2023-12-09,2
JD,43199,2023-12-17,2
JD,43199,2023-12-25,2
JD,42799,2024-01-01,2
JD,42799,2024-01-09,2
JD,43999,2024-01-17,2
JD,42799,2024-01-25,2
JD,42999,2024-02-01,2
JD,43299,2024-02-09,2
JD,43399,2024-02-17,2
JD,43699,2024-02-25,2
JD,42899,2024-03-01,2
JD,43699,2024-03-09,2
JD,43999,2024-03-17,2
JD,43999,2024-03-25,2
JD,43699,2024-04-01,2
JD,42499,2024-04-09,2
JD,42799,2024-04-17,2
JD,42899,2024-04-25,2
JD,42699,2024-05-01,2
JD,42699,2024-05-09,2
JD,42499,2024-05-17,2
